"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 04 16:30:51 GMT 2022","Wed May 04 16:30:54 GMT 2022","2992","","Homepage","","Homepage","Can navigate to Rewards page using main nav tab","Can navigate to Rewards page using main nav tab",""
"passed","Wed May 04 16:30:54 GMT 2022","Wed May 04 16:30:56 GMT 2022","2683","","Homepage","","Homepage","Can navigate to Withdraw page using main nav tab","Can navigate to Withdraw page using main nav tab",""
"passed","Wed May 04 16:30:19 GMT 2022","Wed May 04 16:30:23 GMT 2022","4265","","Homepage","","Homepage","Links on the homepage","Links on the homepage",""
"passed","Wed May 04 16:28:35 GMT 2022","Wed May 04 16:28:42 GMT 2022","6260","","Claim codes","","Claim codes","Prompt to connect to eth wallet to claim if not connected","Prompt to connect to eth wallet to claim if not connected",""
"passed","Wed May 04 16:32:01 GMT 2022","Wed May 04 16:32:18 GMT 2022","17788","","Rewards page","","Rewards page","Rewards countdown is not displayed if vega wallet is not connected","Rewards countdown is not displayed if vega wallet is not connected",""
"passed","Wed May 04 16:30:26 GMT 2022","Wed May 04 16:30:29 GMT 2022","3220","","Homepage","","Homepage","Navigate to staking page via link on homepage body","Navigate to staking page via link on homepage body",""
"passed","Wed May 04 16:33:49 GMT 2022","Wed May 04 16:33:59 GMT 2022","9529","","Staking and Association tests","","Staking and Association tests","Associate tokens through vesting contract","Associate tokens through vesting contract",""
"passed","Wed May 04 16:35:36 GMT 2022","Wed May 04 16:36:03 GMT 2022","26556","","Withdraw page","","Withdraw page","Check wallet field entry","Check wallet field entry",""
"passed","Wed May 04 16:31:02 GMT 2022","Wed May 04 16:31:04 GMT 2022","2229","","Homepage","","Homepage","Vega wallet not connected placeholder","Vega wallet not connected placeholder",""
"passed","Wed May 04 16:29:59 GMT 2022","Wed May 04 16:30:19 GMT 2022","19873","","Homepage","","Homepage","Homepage displays correct information","Homepage displays correct information",""
"passed","Wed May 04 16:33:59 GMT 2022","Wed May 04 16:34:10 GMT 2022","11564","","Staking and Association tests","","Staking and Association tests","Disassociate tokens through wallet","Disassociate tokens through wallet",""
"passed","Wed May 04 16:34:16 GMT 2022","Wed May 04 16:34:20 GMT 2022","4732","","Staking and Association tests","","Staking and Association tests","Cannot disassociate more tokens through vesting contract than available","Cannot disassociate more tokens through vesting contract than available",""
"passed","Wed May 04 16:33:05 GMT 2022","Wed May 04 16:33:31 GMT 2022","25993","","Staking and Association tests","","Staking and Association tests","Go to staking and connect ethereum wallet","Go to staking and connect ethereum wallet",""
"passed","Wed May 04 16:34:29 GMT 2022","Wed May 04 16:34:36 GMT 2022","7213","","Staking and Association tests","","Staking and Association tests","add stake from wallet","add stake from wallet",""
