"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 06 12:10:55 GMT 2022","Fri May 06 12:10:56 GMT 2022","1341","","Homepage","","Homepage","Can navigate to Home page using main nav tab","Can navigate to Home page using main nav tab",""
"passed","Fri May 06 12:10:50 GMT 2022","Fri May 06 12:10:52 GMT 2022","1280","","Homepage","","Homepage","Can navigate to Vesting page using main nav tab","Can navigate to Vesting page using main nav tab",""
"passed","Fri May 06 12:10:48 GMT 2022","Fri May 06 12:10:49 GMT 2022","773","","Homepage","","Homepage","Navigate to staking page via link on homepage body","Navigate to staking page via link on homepage body",""
"passed","Fri May 06 12:10:59 GMT 2022","Fri May 06 12:10:59 GMT 2022","709","","Homepage","","Homepage","Vega wallet not connected placeholder","Vega wallet not connected placeholder",""
"passed","Fri May 06 12:10:53 GMT 2022","Fri May 06 12:10:55 GMT 2022","1642","","Homepage","","Homepage","Can navigate to Governance page using main nav tab","Can navigate to Governance page using main nav tab",""
"failed","Fri May 06 12:09:44 GMT 2022","Fri May 06 12:10:46 GMT 2022","61691","","Homepage","","Homepage","Links on the homepage","Links on the homepage",""
"passed","Fri May 06 12:11:11 GMT 2022","Fri May 06 12:11:18 GMT 2022","7604","","Staking page","","Staking page","Go to staking page and connect hosted wallet","Go to staking page and connect hosted wallet",""
"passed","Fri May 06 12:10:56 GMT 2022","Fri May 06 12:10:57 GMT 2022","1286","","Homepage","","Homepage","Can navigate to Rewards page using main nav tab","Can navigate to Rewards page using main nav tab",""
"passed","Fri May 06 12:10:46 GMT 2022","Fri May 06 12:10:48 GMT 2022","1886","","Homepage","","Homepage","Check for redeem unlocked tokens from homepage","Check for redeem unlocked tokens from homepage",""
"passed","Fri May 06 12:10:49 GMT 2022","Fri May 06 12:10:49 GMT 2022","818","","Homepage","","Homepage","Navigate to governance proposals page via button link on homepage body","Navigate to governance proposals page via button link on homepage body",""
"passed","Fri May 06 12:10:57 GMT 2022","Fri May 06 12:10:59 GMT 2022","1298","","Homepage","","Homepage","Can navigate to Withdraw page using main nav tab","Can navigate to Withdraw page using main nav tab",""
"passed","Fri May 06 12:10:49 GMT 2022","Fri May 06 12:10:50 GMT 2022","916","","Homepage","","Homepage","Navigate to a not found page will return page error","Navigate to a not found page will return page error",""
"passed","Fri May 06 12:10:52 GMT 2022","Fri May 06 12:10:53 GMT 2022","1344","","Homepage","","Homepage","Can navigate to Staking page using main nav tab","Can navigate to Staking page using main nav tab",""
