"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Apr 08 12:12:35 GMT 2022","Fri Apr 08 12:13:07 GMT 2022","31900","","Homepage","","Homepage","Vega wallet not connected placeholder","Vega wallet not connected placeholder",""
"failed","Fri Apr 08 12:11:29 GMT 2022","Fri Apr 08 12:12:01 GMT 2022","32283","","Homepage","","Homepage","Links on the homepage","Links on the homepage",""
"broken","Fri Apr 08 12:18:53 GMT 2022","Fri Apr 08 12:19:25 GMT 2022","32518","","Staking and Association tests","","Staking and Association tests","Staking validator list and epoch timer countdown","Staking validator list and epoch timer countdown",""
"passed","Fri Apr 08 12:12:15 GMT 2022","Fri Apr 08 12:12:18 GMT 2022","2957","","Homepage","","Homepage","Can navigate to Staking page using main nav tab","Can navigate to Staking page using main nav tab",""
"passed","Fri Apr 08 12:12:24 GMT 2022","Fri Apr 08 12:12:27 GMT 2022","2831","","Homepage","","Homepage","Can navigate to Rewards page using main nav tab","Can navigate to Rewards page using main nav tab",""
"passed","Fri Apr 08 12:12:09 GMT 2022","Fri Apr 08 12:12:13 GMT 2022","3195","","Homepage","","Homepage","Navigate to a not found page will return page error","Navigate to a not found page will return page error",""
"broken","Fri Apr 08 12:20:49 GMT 2022","Fri Apr 08 12:21:01 GMT 2022","12395","","Withdraw page","","Withdraw page","Invalid wallet address error message is shown if user enters an invalid wallet address","Invalid wallet address error message is shown if user enters an invalid wallet address",""
"broken","Fri Apr 08 12:19:30 GMT 2022","Fri Apr 08 12:19:31 GMT 2022","1445","","Staking and Association tests","","Staking and Association tests","Remove stake at next epoch","Remove stake at next epoch",""
"passed","Fri Apr 08 12:14:15 GMT 2022","Fri Apr 08 12:14:35 GMT 2022","19883","","Rewards page","","Rewards page","Rewards countdown is not displayed if vega wallet is not connected","Rewards countdown is not displayed if vega wallet is not connected",""
"broken","Fri Apr 08 12:18:21 GMT 2022","Fri Apr 08 12:18:53 GMT 2022","31393","","Staking and Association tests","","Staking and Association tests","Disassociate tokens through vesting contract","Disassociate tokens through vesting contract",""
"broken","Fri Apr 08 12:19:27 GMT 2022","Fri Apr 08 12:19:28 GMT 2022","1389","","Staking and Association tests","","Staking and Association tests","Cannot stake more than what is associated","Cannot stake more than what is associated",""
"broken","Fri Apr 08 12:19:25 GMT 2022","Fri Apr 08 12:19:27 GMT 2022","1532","","Staking and Association tests","","Staking and Association tests","add stake from wallet","add stake from wallet",""
"passed","Fri Apr 08 12:12:04 GMT 2022","Fri Apr 08 12:12:06 GMT 2022","2325","","Homepage","","Homepage","Navigate to staking page via link on homepage body","Navigate to staking page via link on homepage body",""
"passed","Fri Apr 08 12:12:13 GMT 2022","Fri Apr 08 12:12:15 GMT 2022","2782","","Homepage","","Homepage","Can navigate to Vesting page using main nav tab","Can navigate to Vesting page using main nav tab",""
"broken","Fri Apr 08 12:19:28 GMT 2022","Fri Apr 08 12:19:30 GMT 2022","1507","","Staking and Association tests","","Staking and Association tests","Remove stake now","Remove stake now",""
"passed","Fri Apr 08 12:12:33 GMT 2022","Fri Apr 08 12:12:35 GMT 2022","2622","","Homepage","","Homepage","Eth wallet not connected placeholder","Eth wallet not connected placeholder",""
"broken","Fri Apr 08 12:15:43 GMT 2022","Fri Apr 08 12:16:15 GMT 2022","31488","","Staking and Association tests","","Staking and Association tests","Associate tokens through vesting contract","Associate tokens through vesting contract",""
"broken","Fri Apr 08 12:16:15 GMT 2022","Fri Apr 08 12:16:47 GMT 2022","31746","","Staking and Association tests","","Staking and Association tests","Use maximum button on associate from wallet enters correct amount","Use maximum button on associate from wallet enters correct amount",""
"passed","Fri Apr 08 12:11:11 GMT 2022","Fri Apr 08 12:11:29 GMT 2022","17250","","Homepage","","Homepage","Homepage displays correct information","Homepage displays correct information",""
"unknown","Fri Apr 08 12:20:33 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1649420433064","","Withdraw page","","Withdraw page","Check wallet field entry","Check wallet field entry",""
"passed","Fri Apr 08 12:12:30 GMT 2022","Fri Apr 08 12:12:33 GMT 2022","2922","","Homepage","","Homepage","Page not found error where page does not exist","Page not found error where page does not exist",""
"broken","Fri Apr 08 12:17:18 GMT 2022","Fri Apr 08 12:17:50 GMT 2022","31563","","Staking and Association tests","","Staking and Association tests","Cannot disassociate more tokens through wallet than available","Cannot disassociate more tokens through wallet than available",""
