"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 16 13:53:54 GMT 2022","Wed Mar 16 13:53:57 GMT 2022","3320","","Claim codes","","Claim codes","Prompt to connect to eth wallet to claim if not connected","Prompt to connect to eth wallet to claim if not connected",""
"broken","Wed Mar 16 13:55:55 GMT 2022","Wed Mar 16 13:56:01 GMT 2022","6238","","Homepage","","Homepage","Can navigate to Staking page using main nav tab","Can navigate to Staking page using main nav tab",""
"broken","Wed Mar 16 13:56:13 GMT 2022","Wed Mar 16 13:56:19 GMT 2022","6092","","Homepage","","Homepage","Can navigate to Rewards page using main nav tab","Can navigate to Rewards page using main nav tab",""
"broken","Wed Mar 16 13:56:19 GMT 2022","Wed Mar 16 13:56:25 GMT 2022","6254","","Homepage","","Homepage","Can navigate to Withdraw page using main nav tab","Can navigate to Withdraw page using main nav tab",""
"broken","Wed Mar 16 13:53:57 GMT 2022","Wed Mar 16 13:54:12 GMT 2022","15079","","Claim codes","","Claim codes","Invalid claims code will show error","Invalid claims code will show error",""
"broken","Wed Mar 16 13:56:01 GMT 2022","Wed Mar 16 13:56:07 GMT 2022","6292","","Homepage","","Homepage","Can navigate to Governance page using main nav tab","Can navigate to Governance page using main nav tab",""
"broken","Wed Mar 16 13:58:06 GMT 2022","Wed Mar 16 13:58:13 GMT 2022","7403","","Staking page","","Staking page","Associate tokens through wallet","Associate tokens through wallet",""
"broken","Wed Mar 16 13:55:32 GMT 2022","Wed Mar 16 13:55:38 GMT 2022","6089","","Homepage","","Homepage","Navigate to staking page via link on homepage body","Navigate to staking page via link on homepage body",""
"broken","Wed Mar 16 13:55:26 GMT 2022","Wed Mar 16 13:55:32 GMT 2022","6514","","Homepage","","Homepage","Check for redeem unlocked tokens from homepage","Check for redeem unlocked tokens from homepage",""
"passed","Wed Mar 16 13:55:44 GMT 2022","Wed Mar 16 13:55:48 GMT 2022","3566","","Homepage","","Homepage","Navigate to a not found page will return page error","Navigate to a not found page will return page error",""
"broken","Wed Mar 16 13:56:28 GMT 2022","Wed Mar 16 13:56:39 GMT 2022","11348","","Homepage","","Homepage","Eth wallet not connected placeholder","Eth wallet not connected placeholder",""
"broken","Wed Mar 16 13:55:07 GMT 2022","Wed Mar 16 13:55:23 GMT 2022","15679","","Homepage","","Homepage","Homepage displays correct information","Homepage displays correct information",""
"broken","Wed Mar 16 13:58:13 GMT 2022","Wed Mar 16 13:58:46 GMT 2022","32447","","Staking page","","Staking page","Use maximum button on associate from wallet enters correct amount","Use maximum button on associate from wallet enters correct amount",""
"broken","Wed Mar 16 13:56:07 GMT 2022","Wed Mar 16 13:56:13 GMT 2022","5921","","Homepage","","Homepage","Can navigate to Home page using main nav tab","Can navigate to Home page using main nav tab",""
"broken","Wed Mar 16 13:57:41 GMT 2022","Wed Mar 16 13:58:06 GMT 2022","24361","","Staking page","","Staking page","Go to staking and connect ethereum wallet","Go to staking and connect ethereum wallet",""
"broken","Wed Mar 16 13:55:48 GMT 2022","Wed Mar 16 13:55:55 GMT 2022","6503","","Homepage","","Homepage","Can navigate to Vesting page using main nav tab","Can navigate to Vesting page using main nav tab",""
"passed","Wed Mar 16 13:55:23 GMT 2022","Wed Mar 16 13:55:26 GMT 2022","2911","","Homepage","","Homepage","Links on the homepage","Links on the homepage",""
"passed","Wed Mar 16 13:56:25 GMT 2022","Wed Mar 16 13:56:28 GMT 2022","2327","","Homepage","","Homepage","Page not found error where page does not exist","Page not found error where page does not exist",""
"passed","Wed Mar 16 13:56:39 GMT 2022","Wed Mar 16 13:56:41 GMT 2022","1634","","Homepage","","Homepage","Vega wallet not connected placeholder","Vega wallet not connected placeholder",""
"broken","Wed Mar 16 13:55:38 GMT 2022","Wed Mar 16 13:55:44 GMT 2022","6264","","Homepage","","Homepage","Navigate to governance proposals page via button link on homepage body","Navigate to governance proposals page via button link on homepage body",""
