"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 15 15:10:55 GMT 2022","Tue Mar 15 15:10:58 GMT 2022","2953","","Homepage","","Homepage","Can navigate to Rewards page using main nav tab","Can navigate to Rewards page using main nav tab",""
"passed","Tue Mar 15 15:11:04 GMT 2022","Tue Mar 15 15:11:07 GMT 2022","3023","","Homepage","","Homepage","Eth wallet not connected placeholder","Eth wallet not connected placeholder",""
"passed","Tue Mar 15 15:10:45 GMT 2022","Tue Mar 15 15:10:48 GMT 2022","2758","","Homepage","","Homepage","Can navigate to Vesting page using main nav tab","Can navigate to Vesting page using main nav tab",""
"passed","Tue Mar 15 15:10:53 GMT 2022","Tue Mar 15 15:10:55 GMT 2022","2079","","Homepage","","Homepage","Can navigate to Home page using main nav tab","Can navigate to Home page using main nav tab",""
"passed","Tue Mar 15 15:12:26 GMT 2022","Tue Mar 15 15:12:41 GMT 2022","14499","","Staking page","","Staking page","Associate tokens through wallet","Associate tokens through wallet",""
"passed","Tue Mar 15 15:10:38 GMT 2022","Tue Mar 15 15:10:40 GMT 2022","2305","","Homepage","","Homepage","Navigate to staking page via link on homepage body","Navigate to staking page via link on homepage body",""
"passed","Tue Mar 15 15:12:11 GMT 2022","Tue Mar 15 15:12:26 GMT 2022","15311","","Staking page","","Staking page","Go to staking and connect ethereum wallet","Go to staking and connect ethereum wallet",""
"passed","Tue Mar 15 15:09:02 GMT 2022","Tue Mar 15 15:09:06 GMT 2022","3874","","Claim codes","","Claim codes","Prompt to connect to eth wallet to claim if not connected","Prompt to connect to eth wallet to claim if not connected",""
"passed","Tue Mar 15 15:10:42 GMT 2022","Tue Mar 15 15:10:45 GMT 2022","3019","","Homepage","","Homepage","Navigate to a not found page will return page error","Navigate to a not found page will return page error",""
"passed","Tue Mar 15 15:10:16 GMT 2022","Tue Mar 15 15:10:33 GMT 2022","16778","","Homepage","","Homepage","Homepage displays correct information","Homepage displays correct information",""
"passed","Tue Mar 15 15:11:07 GMT 2022","Tue Mar 15 15:11:10 GMT 2022","3157","","Homepage","","Homepage","Vega wallet not connected placeholder","Vega wallet not connected placeholder",""
"passed","Tue Mar 15 15:10:36 GMT 2022","Tue Mar 15 15:10:38 GMT 2022","2469","","Homepage","","Homepage","Check for redeem unlocked tokens from homepage","Check for redeem unlocked tokens from homepage",""
"passed","Tue Mar 15 15:10:40 GMT 2022","Tue Mar 15 15:10:42 GMT 2022","1988","","Homepage","","Homepage","Navigate to governance proposals page via button link on homepage body","Navigate to governance proposals page via button link on homepage body",""
"passed","Tue Mar 15 15:10:48 GMT 2022","Tue Mar 15 15:10:51 GMT 2022","2763","","Homepage","","Homepage","Can navigate to Staking page using main nav tab","Can navigate to Staking page using main nav tab",""
"passed","Tue Mar 15 15:10:58 GMT 2022","Tue Mar 15 15:11:01 GMT 2022","2588","","Homepage","","Homepage","Can navigate to Withdraw page using main nav tab","Can navigate to Withdraw page using main nav tab",""
"passed","Tue Mar 15 15:09:06 GMT 2022","Tue Mar 15 15:09:19 GMT 2022","13298","","Claim codes","","Claim codes","Invalid claims code will show error","Invalid claims code will show error",""
"passed","Tue Mar 15 15:11:01 GMT 2022","Tue Mar 15 15:11:04 GMT 2022","2697","","Homepage","","Homepage","Page not found error where page does not exist","Page not found error where page does not exist",""
"passed","Tue Mar 15 15:10:33 GMT 2022","Tue Mar 15 15:10:36 GMT 2022","2861","","Homepage","","Homepage","Links on the homepage","Links on the homepage",""
"passed","Tue Mar 15 15:10:51 GMT 2022","Tue Mar 15 15:10:53 GMT 2022","2581","","Homepage","","Homepage","Can navigate to Governance page using main nav tab","Can navigate to Governance page using main nav tab",""
"passed","Tue Mar 15 15:12:41 GMT 2022","Tue Mar 15 15:12:45 GMT 2022","4157","","Staking page","","Staking page","Use maximum button on associate from wallet enters correct amount","Use maximum button on associate from wallet enters correct amount",""
