"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Mar 03 10:09:07 GMT 2022","Thu Mar 03 10:09:18 GMT 2022","10921","","Homepage","","Homepage","Eth wallet not connected placeholder","Eth wallet not connected placeholder",""
"passed","Thu Mar 03 10:08:51 GMT 2022","Thu Mar 03 10:08:52 GMT 2022","1192","","Homepage","","Homepage","Navigate to staking page via link on homepage body","Navigate to staking page via link on homepage body",""
"passed","Thu Mar 03 10:08:52 GMT 2022","Thu Mar 03 10:08:54 GMT 2022","1524","","Homepage","","Homepage","Navigate to governance proposals page via button link on homepage body","Navigate to governance proposals page via button link on homepage body",""
"broken","Thu Mar 03 10:08:10 GMT 2022","Thu Mar 03 10:08:48 GMT 2022","37966","","Homepage","","Homepage","Homepage displays correct information","Homepage displays correct information",""
"passed","Thu Mar 03 10:08:48 GMT 2022","Thu Mar 03 10:08:50 GMT 2022","2387","","Homepage","","Homepage","Links on the homepage","Links on the homepage",""
"passed","Thu Mar 03 10:08:50 GMT 2022","Thu Mar 03 10:08:51 GMT 2022","1382","","Homepage","","Homepage","Check for redeem unlocked tokens from homepage","Check for redeem unlocked tokens from homepage",""
"passed","Thu Mar 03 10:09:18 GMT 2022","Thu Mar 03 10:09:19 GMT 2022","1058","","Homepage","","Homepage","Vega wallet not connected placeholder","Vega wallet not connected placeholder",""
"passed","Thu Mar 03 10:08:56 GMT 2022","Thu Mar 03 10:08:58 GMT 2022","2204","","Homepage","","Homepage","Can navigate to Vesting page using main nav tab","Can navigate to Vesting page using main nav tab",""
"passed","Thu Mar 03 10:09:01 GMT 2022","Thu Mar 03 10:09:03 GMT 2022","1442","","Homepage","","Homepage","Can navigate to Home page using main nav tab","Can navigate to Home page using main nav tab",""
"passed","Thu Mar 03 10:09:05 GMT 2022","Thu Mar 03 10:09:07 GMT 2022","1973","","Homepage","","Homepage","Can navigate to Withdraw page using main nav tab","Can navigate to Withdraw page using main nav tab",""
"passed","Thu Mar 03 10:09:36 GMT 2022","Thu Mar 03 10:09:44 GMT 2022","7483","","Staking page","","Staking page","Go to staking page and connect hosted wallet","Go to staking page and connect hosted wallet",""
"passed","Thu Mar 03 10:08:58 GMT 2022","Thu Mar 03 10:09:00 GMT 2022","1531","","Homepage","","Homepage","Can navigate to Staking page using main nav tab","Can navigate to Staking page using main nav tab",""
"broken","Thu Mar 03 10:09:29 GMT 2022","Thu Mar 03 10:09:36 GMT 2022","6883","","Staking page","","Staking page","Go to staking and connect ethereum wallet","Go to staking and connect ethereum wallet",""
"passed","Thu Mar 03 10:09:03 GMT 2022","Thu Mar 03 10:09:05 GMT 2022","1812","","Homepage","","Homepage","Can navigate to Rewards page using main nav tab","Can navigate to Rewards page using main nav tab",""
"passed","Thu Mar 03 10:09:00 GMT 2022","Thu Mar 03 10:09:01 GMT 2022","1742","","Homepage","","Homepage","Can navigate to Governance page using main nav tab","Can navigate to Governance page using main nav tab",""
"passed","Thu Mar 03 10:08:54 GMT 2022","Thu Mar 03 10:08:56 GMT 2022","1954","","Homepage","","Homepage","Navigate to a not found page will return page error","Navigate to a not found page will return page error",""
