"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 13 14:10:22 GMT 2022","Mon Jun 13 14:10:36 GMT 2022","13825","","Staking and Association tests","","Staking and Association tests","Disassociate tokens through wallet","Disassociate tokens through wallet",""
"failed","Mon Jun 13 14:05:53 GMT 2022","Mon Jun 13 14:06:26 GMT 2022","32851","","Homepage","","Homepage","Links on the homepage","Links on the homepage",""
"passed","Mon Jun 13 14:07:02 GMT 2022","Mon Jun 13 14:07:05 GMT 2022","3320","","Homepage","","Homepage","Page not found error where page does not exist","Page not found error where page does not exist",""
"passed","Mon Jun 13 14:06:26 GMT 2022","Mon Jun 13 14:06:30 GMT 2022","3804","","Homepage","","Homepage","Check for redeem unlocked tokens from homepage","Check for redeem unlocked tokens from homepage",""
"passed","Mon Jun 13 14:06:37 GMT 2022","Mon Jun 13 14:06:41 GMT 2022","3732","","Homepage","","Homepage","Navigate to a not found page will return page error","Navigate to a not found page will return page error",""
"passed","Mon Jun 13 14:10:08 GMT 2022","Mon Jun 13 14:10:22 GMT 2022","14344","","Staking and Association tests","","Staking and Association tests","Associate tokens through vesting contract","Associate tokens through vesting contract",""
"passed","Mon Jun 13 14:06:30 GMT 2022","Mon Jun 13 14:06:33 GMT 2022","2894","","Homepage","","Homepage","Navigate to staking page via link on homepage body","Navigate to staking page via link on homepage body",""
"passed","Mon Jun 13 14:06:55 GMT 2022","Mon Jun 13 14:06:59 GMT 2022","3839","","Homepage","","Homepage","Can navigate to Rewards page using main nav tab","Can navigate to Rewards page using main nav tab",""
"passed","Mon Jun 13 14:06:33 GMT 2022","Mon Jun 13 14:06:37 GMT 2022","4413","","Homepage","","Homepage","Navigate to governance proposals page via button link on homepage body","Navigate to governance proposals page via button link on homepage body",""
"passed","Mon Jun 13 14:06:41 GMT 2022","Mon Jun 13 14:06:44 GMT 2022","2945","","Homepage","","Homepage","Can navigate to Vesting page using main nav tab","Can navigate to Vesting page using main nav tab",""
"passed","Mon Jun 13 14:10:48 GMT 2022","Mon Jun 13 14:11:02 GMT 2022","13069","","Staking and Association tests","","Staking and Association tests","Disassociate tokens through vesting contract","Disassociate tokens through vesting contract",""
"passed","Mon Jun 13 14:06:51 GMT 2022","Mon Jun 13 14:06:55 GMT 2022","3215","","Homepage","","Homepage","Can navigate to Home page using main nav tab","Can navigate to Home page using main nav tab",""
"passed","Mon Jun 13 14:07:05 GMT 2022","Mon Jun 13 14:07:09 GMT 2022","3668","","Homepage","","Homepage","Eth wallet not connected placeholder","Eth wallet not connected placeholder",""
"passed","Mon Jun 13 14:10:42 GMT 2022","Mon Jun 13 14:10:48 GMT 2022","6096","","Staking and Association tests","","Staking and Association tests","Cannot disassociate more tokens through vesting contract than available","Cannot disassociate more tokens through vesting contract than available",""
"passed","Mon Jun 13 14:09:28 GMT 2022","Mon Jun 13 14:09:48 GMT 2022","20272","","Staking and Association tests","","Staking and Association tests","Go to staking and connect ethereum wallet","Go to staking and connect ethereum wallet",""
