"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 18 10:50:33 GMT 2022","Fri Feb 18 10:50:34 GMT 2022","1759","","Homepage","","Homepage","Vega wallet not connected placeholder","Vega wallet not connected placeholder",""
"passed","Fri Feb 18 10:49:53 GMT 2022","Fri Feb 18 10:49:57 GMT 2022","3198","","Homepage","","Homepage","Check for redeem unlocked tokens from homepage","Check for redeem unlocked tokens from homepage",""
"passed","Fri Feb 18 10:49:57 GMT 2022","Fri Feb 18 10:50:01 GMT 2022","4136","","Homepage","","Homepage","Navigate to staking page via link on homepage body","Navigate to staking page via link on homepage body",""
"passed","Fri Feb 18 10:50:20 GMT 2022","Fri Feb 18 10:50:23 GMT 2022","3469","","Homepage","","Homepage","Can navigate to Rewards page using main nav tab","Can navigate to Rewards page using main nav tab",""
"passed","Fri Feb 18 10:50:23 GMT 2022","Fri Feb 18 10:50:32 GMT 2022","8732","","Homepage","","Homepage","Can navigate to Withdraw page using main nav tab","Can navigate to Withdraw page using main nav tab",""
"broken","Fri Feb 18 10:51:40 GMT 2022","Fri Feb 18 10:52:11 GMT 2022","31225","","Connect a vega wallet","","Connect a vega wallet","Do a staking thing","Do a staking thing",""
"broken","Fri Feb 18 10:50:32 GMT 2022","Fri Feb 18 10:50:33 GMT 2022","820","","Homepage","","Homepage","Eth wallet not connected placeholder","Eth wallet not connected placeholder",""
"passed","Fri Feb 18 10:50:12 GMT 2022","Fri Feb 18 10:50:15 GMT 2022","3411","","Homepage","","Homepage","Can navigate to Governance page using main nav tab","Can navigate to Governance page using main nav tab",""
"passed","Fri Feb 18 10:50:03 GMT 2022","Fri Feb 18 10:50:06 GMT 2022","2319","","Homepage","","Homepage","Navigate to a not found page will return page error","Navigate to a not found page will return page error",""
"passed","Fri Feb 18 10:50:06 GMT 2022","Fri Feb 18 10:50:09 GMT 2022","3386","","Homepage","","Homepage","Can navigate to Vesting page using main nav tab","Can navigate to Vesting page using main nav tab",""
"passed","Fri Feb 18 10:49:49 GMT 2022","Fri Feb 18 10:49:53 GMT 2022","3977","","Homepage","","Homepage","Links on the homepage","Links on the homepage",""
"passed","Fri Feb 18 10:50:01 GMT 2022","Fri Feb 18 10:50:03 GMT 2022","2597","","Homepage","","Homepage","Navigate to governance proposals page via button link on homepage body","Navigate to governance proposals page via button link on homepage body",""
"broken","Fri Feb 18 10:49:34 GMT 2022","Fri Feb 18 10:49:49 GMT 2022","15472","","Homepage","","Homepage","Homepage displays correct information","Homepage displays correct information",""
"passed","Fri Feb 18 10:50:09 GMT 2022","Fri Feb 18 10:50:12 GMT 2022","2497","","Homepage","","Homepage","Can navigate to Staking page using main nav tab","Can navigate to Staking page using main nav tab",""
"broken","Fri Feb 18 10:51:26 GMT 2022","Fri Feb 18 10:51:40 GMT 2022","13581","","Connect a vega wallet","","Connect a vega wallet","Go to Vega","Go to Vega",""
"passed","Fri Feb 18 10:50:15 GMT 2022","Fri Feb 18 10:50:20 GMT 2022","4643","","Homepage","","Homepage","Can navigate to Home page using main nav tab","Can navigate to Home page using main nav tab",""
