"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 08 10:56:37 GMT 2022","Fri Apr 08 10:56:40 GMT 2022","3464","","Homepage","","Homepage","Can navigate to Governance page using main nav tab","Can navigate to Governance page using main nav tab",""
"passed","Fri Apr 08 10:56:43 GMT 2022","Fri Apr 08 10:56:46 GMT 2022","2934","","Homepage","","Homepage","Can navigate to Rewards page using main nav tab","Can navigate to Rewards page using main nav tab",""
"broken","Fri Apr 08 11:00:31 GMT 2022","Fri Apr 08 11:00:33 GMT 2022","1108","","Staking and Association tests","","Staking and Association tests","Associate tokens through vesting contract","Associate tokens through vesting contract",""
"failed","Fri Apr 08 10:55:47 GMT 2022","Fri Apr 08 10:56:19 GMT 2022","32210","","Homepage","","Homepage","Links on the homepage","Links on the homepage",""
"broken","Fri Apr 08 11:02:53 GMT 2022","Fri Apr 08 11:02:55 GMT 2022","2251","","Staking and Association tests","","Staking and Association tests","Remove stake at next epoch","Remove stake at next epoch",""
"passed","Fri Apr 08 10:56:19 GMT 2022","Fri Apr 08 10:56:22 GMT 2022","3117","","Homepage","","Homepage","Check for redeem unlocked tokens from homepage","Check for redeem unlocked tokens from homepage",""
"broken","Fri Apr 08 11:02:48 GMT 2022","Fri Apr 08 11:02:51 GMT 2022","2042","","Staking and Association tests","","Staking and Association tests","Cannot stake more than what is associated","Cannot stake more than what is associated",""
"passed","Fri Apr 08 10:55:28 GMT 2022","Fri Apr 08 10:55:47 GMT 2022","18273","","Homepage","","Homepage","Homepage displays correct information","Homepage displays correct information",""
"passed","Fri Apr 08 10:56:52 GMT 2022","Fri Apr 08 10:56:54 GMT 2022","2484","","Homepage","","Homepage","Eth wallet not connected placeholder","Eth wallet not connected placeholder",""
"passed","Fri Apr 08 11:00:14 GMT 2022","Fri Apr 08 11:00:30 GMT 2022","16024","","Staking and Association tests","","Staking and Association tests","Go to staking and connect ethereum wallet","Go to staking and connect ethereum wallet",""
"broken","Fri Apr 08 11:02:11 GMT 2022","Fri Apr 08 11:02:13 GMT 2022","1898","","Staking and Association tests","","Staking and Association tests","Disassociate tokens through vesting contract","Disassociate tokens through vesting contract",""
