"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 08 13:22:28 GMT 2022","Tue Mar 08 13:22:29 GMT 2022","1467","","Homepage","","Homepage","Navigate to a not found page will return page error","Navigate to a not found page will return page error",""
"passed","Tue Mar 08 13:22:26 GMT 2022","Tue Mar 08 13:22:27 GMT 2022","924","","Homepage","","Homepage","Navigate to staking page via link on homepage body","Navigate to staking page via link on homepage body",""
"passed","Tue Mar 08 13:22:37 GMT 2022","Tue Mar 08 13:22:38 GMT 2022","1023","","Homepage","","Homepage","Can navigate to Withdraw page using main nav tab","Can navigate to Withdraw page using main nav tab",""
"passed","Tue Mar 08 13:22:49 GMT 2022","Tue Mar 08 13:22:58 GMT 2022","8778","","Staking page","","Staking page","Go to staking page and connect hosted wallet","Go to staking page and connect hosted wallet",""
"passed","Tue Mar 08 13:22:38 GMT 2022","Tue Mar 08 13:22:39 GMT 2022","667","","Homepage","","Homepage","Vega wallet not connected placeholder","Vega wallet not connected placeholder",""
"passed","Tue Mar 08 13:22:36 GMT 2022","Tue Mar 08 13:22:37 GMT 2022","1696","","Homepage","","Homepage","Can navigate to Rewards page using main nav tab","Can navigate to Rewards page using main nav tab",""
"passed","Tue Mar 08 13:22:34 GMT 2022","Tue Mar 08 13:22:36 GMT 2022","1434","","Homepage","","Homepage","Can navigate to Home page using main nav tab","Can navigate to Home page using main nav tab",""
"passed","Tue Mar 08 13:22:24 GMT 2022","Tue Mar 08 13:22:26 GMT 2022","1501","","Homepage","","Homepage","Check for redeem unlocked tokens from homepage","Check for redeem unlocked tokens from homepage",""
"passed","Tue Mar 08 13:22:29 GMT 2022","Tue Mar 08 13:22:31 GMT 2022","1511","","Homepage","","Homepage","Can navigate to Vesting page using main nav tab","Can navigate to Vesting page using main nav tab",""
"passed","Tue Mar 08 13:22:31 GMT 2022","Tue Mar 08 13:22:32 GMT 2022","1457","","Homepage","","Homepage","Can navigate to Staking page using main nav tab","Can navigate to Staking page using main nav tab",""
"passed","Tue Mar 08 13:22:27 GMT 2022","Tue Mar 08 13:22:28 GMT 2022","1102","","Homepage","","Homepage","Navigate to governance proposals page via button link on homepage body","Navigate to governance proposals page via button link on homepage body",""
"passed","Tue Mar 08 13:22:32 GMT 2022","Tue Mar 08 13:22:34 GMT 2022","1677","","Homepage","","Homepage","Can navigate to Governance page using main nav tab","Can navigate to Governance page using main nav tab",""
"passed","Tue Mar 08 13:21:54 GMT 2022","Tue Mar 08 13:22:24 GMT 2022","30209","","Homepage","","Homepage","Links on the homepage","Links on the homepage",""
