"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Apr 25 15:52:00 GMT 2022","Mon Apr 25 15:52:00 GMT 2022","62","","Homepage","","Homepage","Homepage displays correct information","Homepage displays correct information",""
"passed","Mon Apr 25 15:52:10 GMT 2022","Mon Apr 25 15:52:10 GMT 2022","10","","Homepage","","Homepage","Navigate to staking page via link on homepage body","Navigate to staking page via link on homepage body",""
"failed","Mon Apr 25 15:54:35 GMT 2022","Mon Apr 25 15:54:35 GMT 2022","17","","Staking and Association tests","","Staking and Association tests","add stake from wallet","add stake from wallet",""
"failed","Mon Apr 25 15:52:10 GMT 2022","Mon Apr 25 15:52:10 GMT 2022","13","","Homepage","","Homepage","Can navigate to Vesting page using main nav tab","Can navigate to Vesting page using main nav tab",""
"failed","Mon Apr 25 15:52:10 GMT 2022","Mon Apr 25 15:52:10 GMT 2022","10","","Homepage","","Homepage","Can navigate to Staking page using main nav tab","Can navigate to Staking page using main nav tab",""
"failed","Mon Apr 25 15:52:10 GMT 2022","Mon Apr 25 15:52:10 GMT 2022","10","","Homepage","","Homepage","Can navigate to Withdraw page using main nav tab","Can navigate to Withdraw page using main nav tab",""
"failed","Mon Apr 25 15:52:10 GMT 2022","Mon Apr 25 15:52:10 GMT 2022","14","","Homepage","","Homepage","Can navigate to Rewards page using main nav tab","Can navigate to Rewards page using main nav tab",""
"broken","Mon Apr 25 15:54:35 GMT 2022","Mon Apr 25 15:54:35 GMT 2022","8","","Staking and Association tests","","Staking and Association tests","Use maximum button on associate from wallet enters correct amount","Use maximum button on associate from wallet enters correct amount",""
"broken","Mon Apr 25 15:54:35 GMT 2022","Mon Apr 25 15:54:35 GMT 2022","9","","Staking and Association tests","","Staking and Association tests","Disassociate tokens through vesting contract","Disassociate tokens through vesting contract",""
"failed","Mon Apr 25 15:54:35 GMT 2022","Mon Apr 25 15:54:35 GMT 2022","46","","Staking and Association tests","","Staking and Association tests","Go to staking and connect ethereum wallet","Go to staking and connect ethereum wallet",""
"failed","Mon Apr 25 15:52:10 GMT 2022","Mon Apr 25 15:52:10 GMT 2022","19","","Homepage","","Homepage","Can navigate to Home page using main nav tab","Can navigate to Home page using main nav tab",""
"failed","Mon Apr 25 15:52:15 GMT 2022","Mon Apr 25 15:52:15 GMT 2022","13","","Homepage","","Homepage","Eth wallet not connected placeholder","Eth wallet not connected placeholder",""
"broken","Mon Apr 25 15:55:40 GMT 2022","Mon Apr 25 15:55:40 GMT 2022","10","","Withdraw page","","Withdraw page","Invalid wallet address error message is shown if user enters an invalid wallet address","Invalid wallet address error message is shown if user enters an invalid wallet address",""
"broken","Mon Apr 25 15:52:07 GMT 2022","Mon Apr 25 15:52:10 GMT 2022","2816","","Homepage","","Homepage","Check for redeem unlocked tokens from homepage","Check for redeem unlocked tokens from homepage",""
"broken","Mon Apr 25 15:54:35 GMT 2022","Mon Apr 25 15:54:35 GMT 2022","12","","Staking and Association tests","","Staking and Association tests","Disassociate tokens through wallet","Disassociate tokens through wallet",""
"broken","Mon Apr 25 15:54:35 GMT 2022","Mon Apr 25 15:54:35 GMT 2022","10","","Staking and Association tests","","Staking and Association tests","Associate tokens through vesting contract","Associate tokens through vesting contract",""
"broken","Mon Apr 25 15:55:40 GMT 2022","Mon Apr 25 15:55:40 GMT 2022","43","","Withdraw page","","Withdraw page","Check wallet field entry","Check wallet field entry",""
"broken","Mon Apr 25 15:54:35 GMT 2022","Mon Apr 25 15:54:35 GMT 2022","12","","Staking and Association tests","","Staking and Association tests","Cannot disassociate more tokens through wallet than available","Cannot disassociate more tokens through wallet than available",""
"broken","Mon Apr 25 15:51:03 GMT 2022","Mon Apr 25 15:51:06 GMT 2022","3669","","Claim codes","","Claim codes","Invalid claims code will show error","Invalid claims code will show error",""
"failed","Mon Apr 25 15:52:10 GMT 2022","Mon Apr 25 15:52:10 GMT 2022","11","","Homepage","","Homepage","Can navigate to Governance page using main nav tab","Can navigate to Governance page using main nav tab",""
"broken","Mon Apr 25 15:52:10 GMT 2022","Mon Apr 25 15:52:10 GMT 2022","39","","Homepage","","Homepage","Navigate to a not found page will return page error","Navigate to a not found page will return page error",""
"broken","Mon Apr 25 15:54:35 GMT 2022","Mon Apr 25 15:54:35 GMT 2022","11","","Staking and Association tests","","Staking and Association tests","Cannot disassociate more tokens through vesting contract than available","Cannot disassociate more tokens through vesting contract than available",""
"broken","Mon Apr 25 15:54:35 GMT 2022","Mon Apr 25 15:54:35 GMT 2022","15","","Staking and Association tests","","Staking and Association tests","Cannot stake more than what is associated","Cannot stake more than what is associated",""
"broken","Mon Apr 25 15:53:45 GMT 2022","Mon Apr 25 15:53:45 GMT 2022","38","","Rewards page","","Rewards page","Rewards countdown is not displayed if vega wallet is not connected","Rewards countdown is not displayed if vega wallet is not connected",""
"broken","Mon Apr 25 15:52:15 GMT 2022","Mon Apr 25 15:52:15 GMT 2022","9","","Homepage","","Homepage","Vega wallet not connected placeholder","Vega wallet not connected placeholder",""
"broken","Mon Apr 25 15:54:35 GMT 2022","Mon Apr 25 15:54:35 GMT 2022","13","","Staking and Association tests","","Staking and Association tests","Associate tokens through wallet","Associate tokens through wallet",""
"broken","Mon Apr 25 15:53:45 GMT 2022","Mon Apr 25 15:53:45 GMT 2022","9","","Rewards page","","Rewards page","Rewards are shown and rewards countdown is shown when vega wallet is connect","Rewards are shown and rewards countdown is shown when vega wallet is connect",""
"broken","Mon Apr 25 15:52:00 GMT 2022","Mon Apr 25 15:52:07 GMT 2022","7131","","Homepage","","Homepage","Links on the homepage","Links on the homepage",""
"broken","Mon Apr 25 15:52:10 GMT 2022","Mon Apr 25 15:52:15 GMT 2022","5014","","Homepage","","Homepage","Page not found error where page does not exist","Page not found error where page does not exist",""
"broken","Mon Apr 25 15:50:59 GMT 2022","Mon Apr 25 15:51:03 GMT 2022","3616","","Claim codes","","Claim codes","Prompt to connect to eth wallet to claim if not connected","Prompt to connect to eth wallet to claim if not connected",""
"passed","Mon Apr 25 15:52:10 GMT 2022","Mon Apr 25 15:52:10 GMT 2022","7","","Homepage","","Homepage","Navigate to governance proposals page via button link on homepage body","Navigate to governance proposals page via button link on homepage body",""
